Typhoon,Province,Project Name,Location,Latitude,Longitude,Buffer,Classification,Full Project Title
Nina,Catanduanes,Bagamanoc Resettlement Project,"Brgy. San Rafael, Bagamanoc, Catanduanes",13.9453593,124.2817284,70,Identified,Bagamanoc Resettlement Project
Nina,Catanduanes,Our Lady's Village Residential Project,"Brgy. San Isidro and Cavinitan, Virac, Catanduanes",13.5722153,124.1994078,240,Identified,Our Lady's Village Residential Project
Lando,Aurora,Dinalungan Heights Expansion,"Brgy. Nipoo, Dinalungan, Aurora",16.1585249,121.9818429,200,Identified,Dinalungan Heights Expansion
Lando,Aurora,San Luis Villas Res.,"Brgy. Ditumabo, San Luis, Aurora",15.7012820,121.4637554,150,Identified,San Luis Villas Res.
Labuyo,Aurora,Dinalungan Heights,"Dinalungan, Aurora",16.1585249,121.9818429,200,Identified,Dinalungan Heights
Pablo,Davao De Oro,San Antonio Village,"Brgy. Maparat, Compostela Valley",7.6878612,126.0467876,600,Identified,San Antonio Village
Pablo,Davao De Oro,Monkayo Hsg. Proj. 1,"Brgy. Baylo, Monkayo, Compostela Valley",7.8480736,126.0705905,250,Identified,Monkayo Hsg. Proj. 1
Pablo,Davao De Oro,Monkayo Hsg. Proj. 2,"Brgy. Banlag, Monkayo, Compostela Valley",7.8170193,126.0302661,180,Identified,Monkayo Hsg. Proj. 2
Pablo,Davao De Oro,Monkayo Hsg. Proj. 3,"Brgy. Union, Monkayo, Compostela Valley",7.8047361,126.1040573,490,Identified,Monkayo Hsg. Proj. 3
Pablo,Davao De Oro,Monkayo Hsg. Proj. 3A,"Brgy. Union, Monkayo, Compostela Valley",7.8032542,126.0990178,300,Identified,Monkayo Hsg. Proj. 3A
Pablo,Davao De Oro,Monkayo Hsg. Proj. 4,"Brgy. Poblacion, Monkayo, Compostela Valley",7.8315962,126.0708915,300,Identified,Monkayo Hsg. Proj. 4
Pablo,Davao De Oro,Monkayo Hsg. Proj. 5,"Brgy. Upper Ulip, Monkayo, Compostela Valley",7.8175417,126.1253116,170,Identified,Monkayo Hsg. Proj. 5
Pablo,Davao De Oro,Olive Heights Ville,"Brgy. Poblacion, Monkayo, Compostela Valley",7.8238955,126.0632102,300,Identified,Olive Heights Ville
Pablo,Davao De Oro,Lower Ulip Resettlement Proj.,"Brgy. Poblacion, Monkayo, Compostela Valley",7.8030705,126.0629352,250,Identified,Lower Ulip Resettlement Proj.
Pablo,Davao De Oro,Sariwarain Village,"Brgy. Union, Monkayo, Compostela Valley",7.8073503,126.0810045,250,Identified,Sariwarain Village
Pablo,Davao De Oro,Sarimagdaleno Village,"Brgy. Olaycon, Monkayo, Compostela Valley",7.7906744,126.0338748,250,Identified,Sarimagdaleno Village
Pablo,Davao De Oro,RJ Village (formerly Laak Hsg. Proj),"Brgy. Tubo-tubo, Monkayo, Compostela Valley",7.7917569,126.0941665,200,Identified,RJ Village (formerly Laak Hsg. Proj)
Pablo,Davao De Oro,Mont Eagle Ville Subdv.,"Brgy. Kidawa, Laak, Compostela Valley",7.9052245,125.9068791,500,Identified,Mont Eagle Ville Subdv.
Pablo,Davao De Oro,Vida Vista Subdivision,"Brgy. New Visayas, Montevista, Compostela Valley",7.6837683,126.0243445,330,Identified,Vida Vista Subdivision
Pablo,Davao De Oro,New Bataan Resettlement,"Brgy. San Roque, New Bataan, Compostela Valley",7.5892040,126.1369591,650,Probable,New Bataan Resettlement Proj. 1 & 2
Pablo,Davao De Oro,Balai Maal'lag Onsite,"New Bataan, Davao de Oro",7.5197087,126.1594179,200,Identified,Balai Maal'lag Onsite
Pablo,Davao Oriental,San Alfonso Village,"Brgy. San Alfonso, Cateel, Davao Oriental",7.8055415,126.4163859,230,Probable,San Alfonso Village
Pablo,Davao Oriental,San Antonio III,"Brgy. San Antonio, Cateel, Davao Oriental",7.7291484,126.4628740,200,Identified,San Antonio III
Pablo,Davao Oriental,Cateel Housing Project,"Brgy. Taytayan, Cateel, Davao Oriental",7.7115374,126.4183048,200,Identified,Cateel Hsg. Proj.
Pablo,Davao Oriental,Baculin  Housing Project,"Brgy. Baculin, Baganga, Davao Oriental",7.4548967,126.5800225,350,Identified,Baculin Hsg. Proj.
Pablo,Davao Oriental,Kinablangan Housing Project,"Brgy. Kinablangan, Baganga, Davao Oriental",7.6939586,126.5458196,250,Identified,Kinablangan Hsg. Proj.
Pablo,Davao Oriental,Caraga Housing Project,"Brgy. Central, Caraga, Davao Oriental",7.3303964,126.5459130,150,Identified,Caraga Hsg. Proj.
Pablo,Davao Oriental,Boston Resettlement Project,"Brgy. Carmen, Boston, Davao Oriental",7.8743002,126.3526635,150,Identified,Boston Resettlement Proj.
Pablo,Davao Oriental,MVP Homes,"Brgy. Lambajon, Mati City, Davao Oriental",7.6085088,126.5585317,170,Probable,Land Development for MVP Homes
Sendong,Negros Oriental,Banilad Plains View,"Dumaguete City, Negros Oriental",9.2744309,123.2887447,170,Identified,Banilad Plains View
Sendong,Misamis Oriental,NHA-CDO Bayanihan VIII 1,"Brgy. Macapaya, Camaman-an, Cagayan de Oro City",8.4458000,124.6713100,170,Identified,NHA-CDO Bayanihan VIII Ph. 1
Sendong,Misamis Oriental,[NHA-CDO Bayanihan Village 2,"Brgy. Macapaya, Camaman-an, Cagayan de Oro City",8.4483000,124.6709000,130,Identified,[NHA-CDO Bayanihan Village Ph. 1A
Sendong,Misamis Oriental,INHA-Lumbia Heights,"Brgy. Pahiron, Lumbia, Cagayan de Oro",8.4187000,124.5798100,350,Identified,INHA-Lumbia Heights Ph. 1
Sendong,Lanao Del Norte,Highland Residences,Illigan City,8.2535237,124.2685567,75,Identified,Highland Residences (Upper Hinaplanon)
Sendong,Lanao Del Norte,Iligan Bay Vista Village,"Brgy. Daligpuga, lligan City",8.3157361,124.2563672,390,Identified,Iligan Bay Vista Village (NHA Iligan Ecoville)
Sendong,Misamis Oriental,NHA-Mambuaya Village 1,"Brgy. Mambuaya, Cagayan De Oro",8.3454901,124.5980341,300,Identified,NHA-Mambuaya Village Ph. 1
Sendong,Misamis Oriental,CDO RSHP Phase 2,Cagayan de Oro,8.4568333,124.6063376,600,Identified,Cagayan de Oro RSHP Ph. 2 (Calaanan Housing Project Phase 2)
Sendong,Misamis Oriental,CDO RSHP Phase 3,Cagayan de Oro,8.4530694,124.6054269,600,Identified,Cagayan de Oro RSHP Ph. 3 (Calaanan Housing Project Phase 3 and extension)
Sendong,Misamis Oriental,Indahag Relocation Site,Cagayan de Oro,8.4317238,124.6613943,210,Identified,Indahag Relocation Site Ph. 1 (Cagayan De Oro Resettlement Project Phase 1)
Sendong,Lanao Del Norte,Kapuso Village 1,Iligan City,8.2397696,124.3136277,150,Identified,Kapuso Village
Sendong,Lanao Del Norte,Kapuso Village 2,Iligan City,8.2423876,124.3019605,100,Identified,Kapuso Village
Sendong,Lanao Del Norte,Diocese of Iligan Village,"Luinab, Iligan City",8.2489800,124.2715800,120,Identified,Diocese of Iligan Village 1-4
Sendong,Lanao Del Norte,Red Cross Village,Illigan City,8.2472734,124.3222152,250,Identified,Red Cross Village
Sendong,Lanao Del Norte,Bayanihan sa Iligan Village,Illigan City,8.1931113,124.2237419,300,Identified,Bayanihan sa Iligan Village
Sendong,Misamis Oriental,Indahag Relocation Site Ph. 2,Cagayan de Oro,8.4323182,124.6572745,320,Identified,Indahag Relocation Site Ph. 2
Sendong,Misamis Oriental,LGU-Berjaya GK VILLAGE,Cagayan de Oro,8.4618807,124.6561629,100,Identified,LGU-Berjaya GK VILLAGE
Sendong,Misamis Oriental,Calaanan Mahogany,Cagayan de Oro,8.4713200,124.6080500,130,Identified,Calaanan Mahogany
Sendong,Misamis Oriental,Canitoan Relocation Site,Cagayan de Oro,8.4726000,124.6123100,300,Probable,Canitoan Relocation Site
Sendong,Misamis Oriental,NASSA & SAC-ACDO Caritas Village,Cagayan de Oro,8.4198402,124.6683763,100,Identified,NASSA & SAC-ACDO Caritas Village
Sendong,Misamis Oriental,Tabang Cagayan Village Ph. 1,Cagayan de Oro,8.4449700,124.6162400,350,Identified,Tabang Cagayan Village Ph. 1
Sendong,Misamis Oriental,Xavier Eco Village,Cagayan de Oro,8.4042305,124.5935893,200,Identified,Xavier Eco Village
Sendong,Misamis Oriental,Pagatpat Relocation Site,Cagayan de Oro,8.4615583,124.5844645,350,Identified,Pagatpat Relocation Site
Sendong,Misamis Oriental,Divine Mercy Village,"Opol, Misamit Oriental",8.5114845,124.5644367,350,Identified,[Divine Mercy Village
Pedring,Bulacan,Towerville Phase 6 Residence Project,"Brgy. Gaya-Gaya, San Jose del Monte, Bulacan",14.7857540,121.0563559,550,Probable,Towerville Phase 6 Residence Project
Ondoy,National Capital Region,Northville 2A - Canumay,"Brgy. Canumay, Valenzuela City",14.7066421,120.9782261,140,Identified,Northville 2A - Canumay (Ondoy)
Ondoy,Bulacan,Northville 4A-4B-4C ,"Brgy. Lambakin, Marilao, Bulacan",14.7709196,120.9687681,400,Identified,"Northville 4A, 4B, 4C Res. Proj."
Ondoy,Bulacan,Northville 5A - Sta. Maria,"Brgy. Caysio, Sta. Maria, Bulacan",14.8498989,120.9633157,260,Identified,Northville 5A - Sta. Maria
Ondoy,Laguna,Southville 3 - San Pedro,"San Pedro, Laguna",14.3318969,121.0085147,450,Identified,Southville 3 - San Pedro (Ondoy)
Ondoy,Laguna,Southville 4 - Sta. Rosa City,"Sta. Rosa City, Laguna",14.2991563,121.1203950,700,Identified,Southville 4 - Sta. Rosa City
Ondoy,Laguna,Southville 5-5A,"Brgy. Timbao, Biñan City, Laguna",14.2808548,121.0528207,300,Identified,Southville 5/5A - Binan (Timbao)
Ondoy,Laguna,Southville 7,"Brgy. Kay-Aniog, Calauan, Laguna",14.1736878,121.3421700,600,Identified,Southville 7
Ondoy,Rizal,Southville 8,"Brgy. San Isidro, Rodriguez, Rizal",14.7593174,121.1501544,450,Identified,Southville 8/8A/8B - Rodriguez Hills
Ondoy,Rizal,Southville 9,"Baras, Rizal",14.6046402,121.2607607,450,Identified,Southville 9 Ph. 1 - Baras
Ondoy,Bulacan,Towerville Phase 4,"Brgy. Sto. Cristo, San Jose Del Monte, Bulacan",14.8391970,121.0900023,400,Identified,Towerville Ph. 4 Res. Proj.
Ondoy,Benguet,Tuba Resettlement Project,"Tuba, Benguet",16.4245007,120.5417532,190,Probable,Tuba Resettlement Proj. (Tagadi Housing Project)
Reming,Albay,Anislag Residential Project 2,"Brgy. Anislag, Daraga, Albay",13.0694991,123.6968324,170,Identified,Anislag Res. Proj. Phase 3
Reming,Albay,Anislag Residential Project 4,"Brgy. Anislag, Daraga, Albay",13.0659039,123.6948441,370,Probable,Anislag Resettlement Project Phase 2
Reming,Albay,Banquerohan Resettlement Project,"Banquerohan, Legazpi City, Albay",13.0497949,123.7579466,70,Identified,Banquerohan Resettlement Project
Reming,Albay,Taysan Resettlement Project,"Taysan, Legazpi City, Albay",13.1238367,123.7440724,170,Identified,Taysan Resettlement Project
Reming,Albay,Camalig Resettlement Project,"Tagaytay, Camalig, Albay",13.1584326,123.6295425,390,Identified,Camalig Resettlement Project (Tagaytay Resettlement Site/Anoling Resettlement)
Reming,Albay,Sto. Domingo Resettlement Project,San Andres Sto Domingo Albay,13.2589260,123.7846058,210,Identified,Sto. Domingo Resettlement Project
Reming,Albay,Ligao Resettlement Project ,"Tuburan, Ligao City, Albay",13.2324624,123.5515791,80,Probable,Ligao Resettlement Project 
Reming,Albay,Polangui Resettlement Project,"Lanigay, Polangui, Albay",13.3178587,123.4803343,220,Probable,Polangui Resettlement Project  (Cielo Ville Kabaluyan Resettlement Site)
Reming,Albay,Quitago Resettlement Project,"Quitago, Guinobatan, Albay",13.1696671,123.6075849,240,Identified,Quitago Resettlement Project
Reming,Albay,Mauraro Resettlement Project,"Mauraro, Guinobatan, Albay",13.1416811,123.5984595,240,Identified,Mauraro Resettlement Project
Reming,Albay,Bascaran Resettlement Project,"Bascaran, Daraga, Albay",13.0974135,123.6953172,110,Probable,Bascaran Resettlement Project
Reming,Albay,Baligang Resettlement Project,"Baligang, Camalig, Albay",13.1333846,123.6375921,300, ,Baligang Resettlement Project
